what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766720706115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766720714483
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1766720714965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766720715838
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766720715984
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1766720715984
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1766720725701
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1766720731017
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766720735523
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1766720735523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766720740379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766720743933
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766720746636
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766720754021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766721015155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766721036761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766721037601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766721382879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766721425071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766721431921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766721437322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766721835643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766721839960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766722916192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766722951491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766722966753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766722968124
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1766722968237
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766722968327
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1766722968770
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1766722968770
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1766722968770
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1766722968771
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1766722968771
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1766722968771
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1766722968771
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1766722968771
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1766722968771
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1766722968772
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766722968772
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1766722968772
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766722968772
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1766722968772
