what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1766488659338
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1766488659338
java.version,sysinfo,,,"1.6.0_23",1766488659338
java.vm.info,sysinfo,,,"mixed mode",1766488659338
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1766488659338
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1766488659338
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766488659338
java.vm.specification.version,sysinfo,,,"1.0",1766488659338
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1766488659338
java.vm.version,sysinfo,,,"19.0-b09",1766488659338
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1766488659821
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1766488659911
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1766488660033
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1766488660131
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766488662774
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1766488663712
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1766488665278
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766488668735
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766488668736
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1766488668736
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1766488668745
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1766488673880
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1766488679218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766488680217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766488700220
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766488701204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766488706048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766488709235
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766488710220
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766488710800
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1766488710906
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1766488710906
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1766488710908
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766488710943
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766488715740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766488718219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766488719947
started,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1766488719988
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1766488719994
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1766488719996
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1766488720926
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1766488721020
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1766488721588
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.debugPerspective",1766488721870
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766488721948
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1766488730139
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1766488732808
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1766488733016
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1766488771407
error,log,,,"Internal Error",1766488771470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766488878328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766509009657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766509012040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766519368645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766519369760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520219560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520220419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520221926
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1766520222157
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520222381
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1766520222855
