what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1766003647263
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1766003647263
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1766003647264
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1766003647264
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1766003647264
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1766003647265
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1766003647265
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1766003647266
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1766003647266
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1766003647266
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1766003647267
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1766003647267
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1766003647267
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1766003647267
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1766003647267
os,sysinfo,,,"win32",1766003647268
arch,sysinfo,,,"x86",1766003647268
ws,sysinfo,,,"win32",1766003647268
locale,sysinfo,,,"en_US",1766003647268
processors,sysinfo,,,"16",1766003647268
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1766003647268
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1766003647268
java.specification.name,sysinfo,,,"Java Platform API Specification",1766003647268
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766003647268
java.specification.version,sysinfo,,,"1.6",1766003647268
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1766003647268
java.version,sysinfo,,,"1.6.0_23",1766003647268
java.vm.info,sysinfo,,,"mixed mode",1766003647268
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1766003647268
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1766003647268
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766003647268
java.vm.specification.version,sysinfo,,,"1.0",1766003647268
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1766003647268
java.vm.version,sysinfo,,,"19.0-b09",1766003647268
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1766003647499
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1766003649643
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766003652266
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766003652266
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1766003652268
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1766003652488
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1766003652514
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1766003652535
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1766003652562
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766003654967
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766003655277
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1766003655282
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1766003655282
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1766003655283
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766003655288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766003689704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766003691438
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766003691673
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1766003691852
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1766003691855
