what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766313538896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766313545398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766314775328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318351845
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766318355120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318363619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318377143
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1766318379066
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766318385131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318390363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318403354
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1766318406789
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766318416508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318421614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318423941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318426416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318433150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318433563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318437274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318443200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318444588
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1766318444842
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766318447409
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766318447777
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x8000060, /cygdrive/c/Users/lenovo/Desktop/CO503_labs/Lab_02/CISoC/software/crc/crc.elf] return code: 4, 'other error'",1766318454548
error,log,,,"Downloading ELF Process failed",1766318454549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318454570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318455720
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766318456750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318461407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318474027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318485533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318486575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318494855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318496285
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1766318496537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318498004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318499604
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766318500753
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766318501119
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x8000060, /cygdrive/c/Users/lenovo/Desktop/CO503_labs/Lab_02/CISoC/software/crc/crc.elf] return code: 4, 'other error'",1766318507885
error,log,,,"Downloading ELF Process failed",1766318507886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318507907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318510605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318545397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318548816
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1766318555074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318650601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318824384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766318826501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766342298132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766342298254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766342300249
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1766342300362
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766342300462
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1766342300732
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1766342300732
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1766342300732
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1766342300733
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1766342300733
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1766342300733
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1766342300733
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1766342300733
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1766342300733
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1766342300733
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766342300733
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1766342300733
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766342300733
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1766342300733
